MONTH,DISTRICT,Mortgages,Total Amount
Ιαν-19,ΛΕΥΚΩΣΙΑ,332,78994585
Φεβ-19,ΛΕΥΚΩΣΙΑ,349,60058392
Μαρ-19,ΛΕΥΚΩΣΙΑ,495,90660667
Απρ-19,ΛΕΥΚΩΣΙΑ,535,97983836
Μαϊ-19,ΛΕΥΚΩΣΙΑ,658,119800211
Ιουν-19,ΛΕΥΚΩΣΙΑ,481,83788322
Ιουλ-19,ΛΕΥΚΩΣΙΑ,549,184928594
Αυγ-19,ΛΕΥΚΩΣΙΑ,432,101355805
Σεπ-19,ΛΕΥΚΩΣΙΑ,522,97463053
Οκτ-19,ΛΕΥΚΩΣΙΑ,,
Νοε-19,ΛΕΥΚΩΣΙΑ,,
Δεκ-19,ΛΕΥΚΩΣΙΑ,,
Ιαν-19,ΑΜΜΟΧΩΣΤΟΣ,63,52778622
Φεβ-19,ΑΜΜΟΧΩΣΤΟΣ,48,21458063
Μαρ-19,ΑΜΜΟΧΩΣΤΟΣ,92,40899446
Απρ-19,ΑΜΜΟΧΩΣΤΟΣ,94,28887772
Μαϊ-19,ΑΜΜΟΧΩΣΤΟΣ,101,11311184
Ιουν-19,ΑΜΜΟΧΩΣΤΟΣ,85,15555631
Ιουλ-19,ΑΜΜΟΧΩΣΤΟΣ,111,51820084
Αυγ-19,ΑΜΜΟΧΩΣΤΟΣ,72,24811436
Σεπ-19,ΑΜΜΟΧΩΣΤΟΣ,78,13156406
Οκτ-19,ΑΜΜΟΧΩΣΤΟΣ,,
Νοε-19,ΑΜΜΟΧΩΣΤΟΣ,,
Δεκ-19,ΑΜΜΟΧΩΣΤΟΣ,,
Ιαν-19,ΛΑΡΝΑΚΑ,113,19737839
Φεβ-19,ΛΑΡΝΑΚΑ,117,13256798
Μαρ-19,ΛΑΡΝΑΚΑ,208,28903929
Απρ-19,ΛΑΡΝΑΚΑ,320,44220099
Μαϊ-19,ΛΑΡΝΑΚΑ,276,41103939
Ιουν-19,ΛΑΡΝΑΚΑ,219,33213545
Ιουλ-19,ΛΑΡΝΑΚΑ,238,41310684
Αυγ-19,ΛΑΡΝΑΚΑ,218,27979998
Σεπ-19,ΛΑΡΝΑΚΑ,250,52638788
Οκτ-19,ΛΑΡΝΑΚΑ,,
Νοε-19,ΛΑΡΝΑΚΑ,,
Δεκ-19,ΛΑΡΝΑΚΑ,,
Ιαν-19,ΛΕΜΕΣΟΣ,227,47278864
Φεβ-19,ΛΕΜΕΣΟΣ,255,51000178
Μαρ-19,ΛΕΜΕΣΟΣ,346,74058318
Απρ-19,ΛΕΜΕΣΟΣ,445,70087319
Μαϊ-19,ΛΕΜΕΣΟΣ,376,69954278
Ιουν-19,ΛΕΜΕΣΟΣ,437,120828859
Ιουλ-19,ΛΕΜΕΣΟΣ,385,91123797
Αυγ-19,ΛΕΜΕΣΟΣ,346,76265512
Σεπ-19,ΛΕΜΕΣΟΣ,413,90717040
Οκτ-19,ΛΕΜΕΣΟΣ,,
Νοε-19,ΛΕΜΕΣΟΣ,,
Δεκ-19,ΛΕΜΕΣΟΣ,,
Ιαν-19,ΠΑΦΟΣ,116,13368947
Φεβ-19,ΠΑΦΟΣ,112,26380360
Μαρ-19,ΠΑΦΟΣ,218,25409735
Απρ-19,ΠΑΦΟΣ,204,18191355
Μαϊ-19,ΠΑΦΟΣ,191,30307166
Ιουν-19,ΠΑΦΟΣ,162,19144720
Ιουλ-19,ΠΑΦΟΣ,199,20903999
Αυγ-19,ΠΑΦΟΣ,146,31245330
Σεπ-19,ΠΑΦΟΣ,149,17577927
Οκτ-19,ΠΑΦΟΣ,,
Νοε-19,ΠΑΦΟΣ,,
Δεκ-19,ΠΑΦΟΣ,,
